ID,SMILES,0.0.1uM_threshold,1.0uM_threshold,1.00uM_threshold,1.000uM_threshold
517,CCOC(=O)C=C(C)C=CCC(C)CCCC(C)(C)C,0.0,1.0,1.0,1.0
474,COC(C)(C)CCCC(C)CC=CC(C)=C(C)C(=O)C(C)C,1.0,1.0,1.0,1.0
311,C=CCNC(=O)c1onc(CSc2ccncc2)c1C(=O)NCC=C,0.0,0.0,0.0,0.0
129,CC(C)CNC(=O)/C=C/C=C/CC/C=C/c1ccc2c(c1)OCO2,0.0,1.0,1.0,1.0
526,CCOC(=O)C=C(C)C=CCC(C)CC1OC1C(C)C,0.0,1.0,1.0,1.0
93,C=C(C)C1CCC(C)CC1O,0.0,0.0,0.0,0.0
458,CC(C=CCC(C)CCCC(C)(C)Cl)=CC(=O)OC(C)C,1.0,1.0,1.0,1.0
286,CC(C)NC(=O)c1c(CSc2ccccc2)noc1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
578,CCOC(C)(C)CCCC(C)=CCOc1ccc2c(c1)OCO2,0.0,1.0,1.0,1.0
302,COCCNC(=O)c1c(CS(=O)(=O)c2ccccc2)noc1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
599,CCNCC=C(C)C=CCC(C)CCCC(C)C,0.0,0.0,0.0,1.0
449,CC(C=CCC(C)CCCC(C)(C)O)=CC(=O)OC(C)C,1.0,1.0,1.0,1.0
468,CCCOC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
90,C=CCc1ccc(O)c(OC)c1,0.0,0.0,0.0,0.0
349,C=C(C(=O)OCC)C(O)c1ccc(OC)cc1,0.0,0.0,0.0,0.0
272,O=C(NCc1ccccc1)c1onc(CSc2ccccn2)c1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
541,CCOC(=O)C=C(C)C=CCC(CC)CCCC(C)CC,0.0,1.0,1.0,1.0
316,CC(C)CCNC(=O)c1onc(CSc2ccncc2)c1C(=O)NCCC(C)C,0.0,0.0,0.0,0.0
434,COc1cc(C=O)ccc1O,0.0,0.0,0.0,0.0
322,COCCNC(=O)c1onc(CS(=O)(=O)c2ccc(Cl)cc2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
13,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,0.0,1.0,1.0,1.0
298,CCCNC(=O)c1c(CSc2ccccc2)noc1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
567,CCOC(=O)C=C(C)CCCC(C)CCC=C(C)C,0.0,1.0,1.0,1.0
341,CCCNC(=O)c1onc(CSc2cccc(OC)c2)c1C(=O)NC(C)C,0.0,0.0,0.0,0.0
220,C=C(C(=O)OC)C(O)c1ccc2ccccc2c1,0.0,0.0,0.0,0.0
354,C=C(C(=O)OCC)C(O)c1nccs1,0.0,0.0,0.0,0.0
419,C=CCc1ccc(OC(C)=O)c(OC)c1,0.0,0.0,0.0,0.0
487,CCOC(=O)C=C(C)COc1ccc(Cc2ccccc2)cc1,1.0,1.0,1.0,1.0
338,CCCCNC(=O)c1onc(CSc2ccc(F)cc2)c1C(=O)NCCCC,0.0,0.0,0.0,0.0
3,CC(C)=CC1[C@@H](C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,1.0,1.0,1.0,1.0
345,C=C(C(=O)OC)C(O)/C=C/c1ccccc1,0.0,0.0,0.0,0.0
288,CCCNC(=O)c1c(CS(=O)(=O)c2ccc(Cl)cc2)noc1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
503,COC(C)(C)CCCC(C)CCC=CC(C)=CC(=O)OC(C)C,0.0,1.0,1.0,1.0
268,COCCNC(=O)c1onc(CSc2ccccn2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
171,O=C(O)CCc1cc(-c2ccccc2)no1,0.0,0.0,0.0,0.0
35,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,0.0,0.0,0.0,1.0
281,COCCNC(=O)c1onc(CSc2ccc(F)cc2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
214,CC1=CC(=O)c2c(ccc(-c3cc(O)c4c(c3C)C(=O)CCC4=O)c2O)C1=O,0.0,0.0,0.0,1.0
309,CCCCNC(=O)c1onc(CSc2ccccc2)c1C(=O)NCCCC,0.0,0.0,0.0,0.0
289,COc1cccc(SCc2noc(C(=O)NCc3ccccc3)c2C(=O)NCc2ccccc2)c1,0.0,0.0,0.0,0.0
519,CCCC(=O)C=C(C)C=CCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
588,COCC=C(C)C=CCC(C)CCCC(C)(C)OC,0.0,0.0,1.0,1.0
527,C#CCSC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,0.0,1.0,1.0,1.0
563,CCOC(=O)C=C(C)CCC=C(C)CCCC(C)(C)O,0.0,1.0,1.0,1.0
280,CC(C)NC(=O)c1c(CSc2ccc(Cl)cc2)noc1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
215,COC1=C(C)C(=O)c2cccc(O)c2C1=O,0.0,0.0,0.0,0.0
158,COC(=O)CCCc1nc(-c2ccccc2)no1,0.0,0.0,0.0,0.0
553,CCOC(=O)C=C(C)CCC=C(C)CCC1OC1(C)C,0.0,1.0,1.0,1.0
156,O=C(O)Cc1nc(-c2ccc(Cl)cc2)no1,0.0,0.0,0.0,0.0
546,CCOC(=O)C=C(C)CCC=C(C)CCCC(C)(C)OC,0.0,1.0,1.0,1.0
613,CCOC(=O)C=C(C)C=CC(C)CCCC(C)C,0.0,0.0,0.0,1.0
46,CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,0.0,0.0,0.0,1.0
87,C=C(C)[C@@H]1CC=C(C)C(=O)C1,0.0,0.0,0.0,0.0
462,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC1CC1,1.0,1.0,1.0,1.0
319,CCCCNC(=O)c1onc(CSc2cc(C)cc(C)c2)c1C(=O)NCCCC,0.0,0.0,0.0,0.0
623,CCOC(=O)CC(C)(O)C=CCC(C)CCCC(C)C,0.0,0.0,0.0,1.0
435,CCCCCCCCCC(C)=O,0.0,0.0,0.0,0.0
406,CC(C)[C@@H]1CC[C@@H](C)CC1=O,0.0,0.0,0.0,0.0
547,CCOC(=O)C=C(C)C=CCC(C)CCC=C(C)C,0.0,1.0,1.0,1.0
174,Cc1ccc(-c2noc(CC(=O)O)n2)cc1,0.0,0.0,0.0,0.0
192,CC[C@H]1CCC[C@H](O[C@H]2CC[C@H](NC)[C@@H](C)O2)[C@@H](C)C(=O)C2=C[C@@H]3[C@@H](C=C[C@@H]4C[C@@H](O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C[C@@H]34)[C@@H]2CC(=O)O1,1.0,1.0,1.0,1.0
69,CCOc1ccc2ccc(=O)oc2c1,0.0,0.0,0.0,0.0
543,CCNC(=O)C=C(C)C=CCC(C)CCCC(C)(C)O,0.0,1.0,1.0,1.0
59,COc1ccc2ccc(=O)oc2c1CC=C(C)C,0.0,0.0,0.0,1.0
304,CCCNC(=O)c1c(CSc2ccc(Cl)cc2)noc1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
504,CCOC(=O)C=C(C)CCc1ccc(Oc2ccccc2)cc1,1.0,1.0,1.0,1.0
300,COCCNC(=O)c1onc(CSc2ccncc2)c1C(=O)NCCOC,0.0,0.0,0.0,0.0
532,CCOC(=O)C=C(C=CCC(C)CCCC(C)C)CC,0.0,1.0,1.0,1.0
604,CCOC(=O)C=C(C)C(O)CCC(C)CCCC(C)C,0.0,0.0,1.0,1.0
551,C=CCSC(=O)C=C(C)C=CCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
506,CC(C=CCC(C)CCCC(C)C)=CC(=O)NC(C)C,1.0,1.0,1.0,1.0
500,CC(C=CCC(C)CCCC(C)C)=CC(=O)OCC(C)C,1.0,1.0,1.0,1.0
498,CCC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.0,1.0,1.0,1.0
9,CC1(C)C(/C=C(\Cl)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1,1.0,1.0,1.0,1.0
392,C=C(C)[C@@H]1CC[C@@H](C)C(=O)C1,0.0,0.0,0.0,0.0
256,C=CC[C@@]12C[C@]3(OCOC3=CC1=O)[C@@H](C)[C@@H]2c1cc(O)c2c(c1)OCO2,0.0,0.0,0.0,0.0
114,Fc1cccc2c1N[C@@H](c1cccnc1)[C@H]1CC=C[C@@H]21,0.0,0.0,0.0,0.0
512,CCCCOC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
176,O=C([O-])CCCc1nc(-c2ccccc2)no1,0.0,0.0,0.0,0.0
270,C=CCNC(=O)c1onc(CSc2ccc(Cl)cc2)c1C(=O)NCC=C,0.0,0.0,0.0,0.0
629,CCOC(=O)C=C(C)C=CCC(C)(C)CCCC(C)(C)C,0.0,0.0,0.0,1.0
165,COc1ccc(-c2noc(CCC(=O)O)n2)cc1,0.0,0.0,0.0,0.0
479,CCC(=O)C=C(C)CCC=C(CC)CCC1OC1(C)CC,1.0,1.0,1.0,1.0
574,C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,0.0,1.0,1.0,1.0
48,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1,0.0,0.0,1.0,1.0
433,Cc1ccc(C(C)C)cc1OC(=O)C(Cl)Cl,0.0,0.0,0.0,0.0
475,CSC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.0,1.0,1.0,1.0
122,Cc1[nH]c2c(C(=O)O)cccc2c1C,0.0,0.0,0.0,0.0
463,C=CCSC(=O)C=C(C)C=CCC(C)CCCC(C)(C)OC,1.0,1.0,1.0,1.0
266,CC(C)NC(=O)c1onc(CSc2ccc(F)cc2)c1C(=O)NC(C)C,0.0,0.0,0.0,0.0
625,CCOC(=O)C=C(C)C=CCCCc1ccccc1,0.0,0.0,0.0,1.0
539,COC(C)(C)CCCC(C)CC(C)=CC(C)=CC(=O)OC(C)C,0.0,1.0,1.0,1.0
602,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)NC1CC1,0.0,0.0,1.0,1.0
17,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,0.0,1.0,1.0,1.0
340,CC(C)CCNC(=O)c1onc(CSc2ccc(Cl)cc2)c1C(=O)NCCC(C)C,0.0,0.0,0.0,0.0
53,COc1c2ccoc2c(OC)c2oc(=O)ccc12,0.0,0.0,0.0,1.0
20,COC(=O)N(C(=O)N1COC2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1,0.0,1.0,1.0,1.0
52,Cc1cc(C)c(C2=C(OC(=O)CC(C)(C)C)C3(CCCC3)OC2=O)c(C)c1,0.0,0.0,0.0,1.0
63,C/C=C/c1cc(OC)c(OC)cc1OC,0.0,0.0,0.0,0.0
162,O=C(O)Cc1nc(-c2ccc(Br)cc2)no1,0.0,0.0,0.0,0.0
24,CC[C@H]1CCC[C@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)[C@@H](C)C(=O)C2=C[C@@H]3[C@@H](C=C(C)[C@@H]4C[C@@H](O[C@@H]5O[C@@H](C)[C@H](OC)[C@@H](OC)[C@H]5OC)C[C@@H]34)[C@@H]2CC(=O)O1,0.0,1.0,1.0,1.0
603,CCOC(=O)C=C(C)C=C(C)CC(C)CCCC(C)C,0.0,0.0,1.0,1.0
106,NC(=S)N/N=C/COc1cccc(Cl)c1Cl,0.0,0.0,0.0,1.0
45,CCCCC/C=C/C=C/C(=O)NCC(C)C,0.0,0.0,1.0,1.0
155,O=C(O)CCCc1nc(-c2ccc(Cl)cc2)no1,0.0,0.0,0.0,0.0
366,Fc1cc(F)c2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1ccccc1)N2,0.0,0.0,0.0,0.0
67,Bc1ccc(-c2ccc(C3Cc4ccccc4C(c4c(O)sc5ccccc5c4=O)C3)cc2)cc1,0.0,0.0,0.0,0.0
31,CC(C)c1cc(Oc2ccccc2)cc(C(C)C)c1NC(=S)NC(C)(C)C,0.0,0.0,1.0,1.0
36,C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1,0.0,0.0,1.0,1.0
460,CCSC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.0,1.0,1.0,1.0
600,CCOC(=O)C=C(C)CCCC(C)(C)CCCC(C)(C)C,0.0,0.0,0.0,1.0
273,O=C(NCc1ccccc1)c1onc(CSc2ccc(F)cc2)c1C(=O)NCc1ccccc1,0.0,0.0,0.0,0.0
425,C=C1[C@@H]2CC[C@@H](C2)C1(C)C,0.0,0.0,0.0,0.0
601,CCNC(=O)C=C(C)C=CCC(C)CCC=C(C)C,0.0,0.0,1.0,1.0
531,CCc1ccc(OCCC(C)CCCC(C)(C)OC)cc1,0.0,1.0,1.0,1.0
257,C=CC[C@]12C[C@@]3(OCOC3=CC1=O)[C@H](C)[C@@H]2c1cc(OC)c2c(c1)OCO2,0.0,0.0,0.0,0.0
77,CC(C)=C1CC[C@@H](C)CC1=O,0.0,0.0,0.0,0.0
318,Cc1cc(C)cc(SCc2noc(C(=O)NCc3ccccc3)c2C(=O)NCc2ccccc2)c1,0.0,0.0,0.0,0.0
11,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,1.0,1.0,1.0,1.0
100,c1ccc(-c2ccc(Nc3ccnc(NCc4cccnc4)n3)cc2)cc1,0.0,0.0,1.0,1.0
447,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,1.0,1.0,1.0,1.0
528,CC(C=CCC(C)CCCC(C)C)=CC(=O)C1N=N1,0.0,1.0,1.0,1.0
140,O=C(O)CCc1nc(-c2ccc(Br)cc2)no1,0.0,0.0,0.0,1.0
97,C=C(C)[C@H]1CC[C@H](C)C[C@H]1O,0.0,0.0,0.0,0.0
427,Cc1ccc(C(C)C)c(O)c1C=O,0.0,0.0,0.0,0.0
454,CCc1ccc(OCC=C(C)CCC2OC2(C)C)cc1,1.0,1.0,1.0,1.0
307,CC(C)NC(=O)c1onc(CSc2ccccc2)c1C(=O)NC(C)C,0.0,0.0,0.0,0.0
422,Cc1ccc(C(C)C)cc1OCC(=O)O,0.0,0.0,0.0,0.0
102,OCCN1CCN(c2nccc(Nc3ccc(-c4ccccc4)cc3)n2)CC1,0.0,0.0,0.0,1.0
579,CCOC(=O)C=C(C)C=CCC(C)c1ccc(C(C)C)cc1,0.0,0.0,1.0,1.0
218,CC1=C[C@@H]2[C@@H](CC1=O)[C@](C)(O)CC[C@H]2C(C)C,0.0,0.0,0.0,0.0
484,CCCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.0,1.0,1.0,1.0
457,CC(C=CCC(C)CCCC(C)C)=CC(=O)OC(C)C,1.0,1.0,1.0,1.0
